date,longitude,latitude,level,expver,t,v,w,OT
1940/1/1,104,0.5,10,1,233.77249,0.5718633,0.00010429,-22.07728
1940/2/1,104,0.5,10,1,235.83269,0.17237398,0.000226657,-12.00576
1940/3/1,104,0.5,10,1,236.78513,-0.15587395,-2.63E-05,2.2199836
1940/4/1,104,0.5,10,1,236.03767,-0.19391415,-6.79E-06,15.674162
1940/5/1,104,0.5,10,1,234.45056,-0.2476812,2.49E-05,20.605831
1940/6/1,104,0.5,10,1,233.42401,-0.18060678,-3.24E-05,13.807585
1940/7/1,104,0.5,10,1,231.29443,-0.0611095,-2.55E-05,15.88352
1940/8/1,104,0.5,10,1,231.22427,0.19199896,8.39E-06,12.998381
1940/9/1,104,0.5,10,1,230.7922,0.8859973,-1.55E-05,12.210348
1940/10/1,104,0.5,10,1,232.32019,0.25436875,-6.62E-05,1.0508733
1940/11/1,104,0.5,10,1,232.57959,0.1359468,-8.27E-05,-18.143
1940/12/1,104,0.5,10,1,231.7336,0.27614442,-0.000163442,-24.090878
1941/1/1,104,0.5,10,1,227.67314,0.08406158,2.01E-05,-30.343384
1941/2/1,104,0.5,10,1,230.8056,0.30531305,2.75E-06,-32.862736
1941/3/1,104,0.5,10,1,234.1604,0.2655254,-0.000114408,-33.05445
1941/4/1,104,0.5,10,1,235.09392,0.010535121,-2.37E-05,-34.268253
1941/5/1,104,0.5,10,1,238.69865,-0.3882821,2.57E-05,-13.745311
1941/6/1,104,0.5,10,1,235.14438,-1.4013879,9.52E-05,7.4080577
1941/7/1,104,0.5,10,1,233.19852,-0.046323553,-3.24E-05,14.166315
1941/8/1,104,0.5,10,1,233.04004,0.34348765,-3.33E-05,15.437752
1941/9/1,104,0.5,10,1,233.94832,-0.42390272,9.26E-06,16.168152
1941/10/1,104,0.5,10,1,232.47394,-1.7413303,-7.93E-05,17.484283
1941/11/1,104,0.5,10,1,229.89102,-0.08758977,-0.000112672,-4.218356
1941/12/1,104,0.5,10,1,228.91966,0.18353064,-4.71E-05,-18.286493
1942/1/1,104,0.5,10,1,229.2587,0.36633867,-0.00011788,-24.189676
1942/2/1,104,0.5,10,1,229.99431,0.15180807,-0.000186006,-26.500845
1942/3/1,104,0.5,10,1,232.65213,0.115246475,1.45E-06,-28.333313
1942/4/1,104,0.5,10,1,235.42506,-0.01903677,-1.33E-05,-31.83006
1942/5/1,104,0.5,10,1,237.59169,-0.14485168,0.000145079,-7.3434324
1942/6/1,104,0.5,10,1,233.11731,-0.37914166,1.02E-06,10.080311
1942/7/1,104,0.5,10,1,230.40666,-0.045651466,1.06E-05,13.58176
1942/8/1,104,0.5,10,1,232.6608,-0.45831367,-2.37E-05,11.946888
1942/9/1,104,0.5,10,1,231.22978,-0.9746119,-0.000139576,2.383471
1942/10/1,104,0.5,10,1,232.59694,0.022498295,4.92E-06,-17.031523
1942/11/1,104,0.5,10,1,234.47815,0.24724461,-5.71E-05,-25.215294
1942/12/1,104,0.5,10,1,233.13702,0.411503,-0.000248925,-32.524
1943/1/1,104,0.5,10,1,228.13675,0.35787034,-7.54E-05,-34.282368
1943/2/1,104,0.5,10,1,230.52965,-0.074416846,-0.000110937,-31.888866
1943/3/1,104,0.5,10,1,234.37329,-0.0490119,-5.28E-05,-31.238447
1943/4/1,104,0.5,10,1,237.43874,0.18205205,-0.000126558,-35.599674
1943/5/1,104,0.5,10,1,239.1181,-1.4892972,9.47E-05,-6.143742
1943/6/1,104,0.5,10,1,234.78249,-0.6883023,-7.88E-05,11.535229
1943/7/1,104,0.5,10,1,232.99274,-0.011643797,-2.89E-05,19.911892
1943/8/1,104,0.5,10,1,230.65817,1.010468,-0.000129162,22.405367
1943/9/1,104,0.5,10,1,232.51573,0.34550393,-6.02E-05,16.84092
1943/10/1,104,0.5,10,1,232.8713,0.36862373,-4.63E-05,6.261295
1943/11/1,104,0.5,10,1,232.98328,0.3135125,2.75E-06,-18.795773
1943/12/1,104,0.5,10,1,230.57144,0.27587557,-7.88E-05,-29.792936
1944/1/1,104,0.5,10,1,233.7315,0.5371835,-1.59E-05,13.318298
1944/2/1,104,0.5,10,1,232.20744,0.47118443,4.53E-05,11.339985
1944/3/1,104,0.5,10,1,234.39774,0.007577926,7.43E-05,14.116917
1944/4/1,104,0.5,10,1,234.6863,0.8256438,-0.000171252,11.928068
1944/5/1,104,0.5,10,1,233.30653,-0.015945166,6.70E-05,2.9280362
1944/6/1,104,0.5,10,1,230.0085,-0.24620262,-0.000132633,-15.800076
1944/7/1,104,0.5,10,1,230.07552,-0.06218484,-9.27E-05,-22.099627
1944/8/1,104,0.5,10,1,233.52177,-0.0886651,8.13E-05,-22.882956
1944/9/1,104,0.5,10,1,234.88104,-0.09767109,8.26E-05,-19.52147
1944/10/1,104,0.5,10,1,236.89944,-0.41368702,0.000115572,-11.32123
1944/11/1,104,0.5,10,1,236.14412,-0.12872157,8.17E-05,-0.44168282
1944/12/1,104,0.5,10,1,235.74359,0.4990089,0.000132062,9.992098
1945/1/1,104,0.5,10,1,233.54858,0.2030212,3.96E-05,7.88911
1945/2/1,104,0.5,10,1,234.8022,1.7503028,5.74E-05,0.7474222
1945/3/1,104,0.5,10,1,235.93518,0.39658263,2.44E-05,7.1469483
1945/4/1,104,0.5,10,1,237.11626,-1.2220749,7.22E-05,15.92351
1945/5/1,104,0.5,10,1,235.29103,-1.0279757,4.27E-05,16.556288
1945/6/1,104,0.5,10,1,232.26343,1.2577965,-4.71E-05,9.747456
