date,longitude,latitude,level,expver,o3,t,OT
1940/1/1,104,0.5,10,1,1.46E-05,233.77249,-22.07728
1940/2/1,104,0.5,10,1,1.45E-05,235.83269,-12.00576
1940/3/1,104,0.5,10,1,1.47E-05,236.78513,2.2199836
1940/4/1,104,0.5,10,1,1.50E-05,236.03767,15.674162
1940/5/1,104,0.5,10,1,1.51E-05,234.45056,20.605831
1940/6/1,104,0.5,10,1,1.54E-05,233.42401,13.807585
1940/7/1,104,0.5,10,1,1.60E-05,231.29443,15.88352
1940/8/1,104,0.5,10,1,1.66E-05,231.22427,12.998381
1940/9/1,104,0.5,10,1,1.67E-05,230.7922,12.210348
1940/10/1,104,0.5,10,1,1.62E-05,232.32019,1.0508733
1940/11/1,104,0.5,10,1,1.55E-05,232.57959,-18.143
1940/12/1,104,0.5,10,1,1.50E-05,231.7336,-24.090878
1941/1/1,104,0.5,10,1,1.55E-05,227.67314,-30.343384
1941/2/1,104,0.5,10,1,1.55E-05,230.8056,-32.862736
1941/3/1,104,0.5,10,1,1.56E-05,234.1604,-33.05445
1941/4/1,104,0.5,10,1,1.55E-05,235.09392,-34.268253
1941/5/1,104,0.5,10,1,1.45E-05,238.69865,-13.745311
1941/6/1,104,0.5,10,1,1.50E-05,235.14438,7.4080577
1941/7/1,104,0.5,10,1,1.58E-05,233.19852,14.166315
1941/8/1,104,0.5,10,1,1.65E-05,233.04004,15.437752
1941/9/1,104,0.5,10,1,1.64E-05,233.94832,16.168152
1941/10/1,104,0.5,10,1,1.59E-05,232.47394,17.484283
1941/11/1,104,0.5,10,1,1.58E-05,229.89102,-4.218356
1941/12/1,104,0.5,10,1,1.54E-05,228.91966,-18.286493
1942/1/1,104,0.5,10,1,1.53E-05,229.2587,-24.189676
1942/2/1,104,0.5,10,1,1.55E-05,229.99431,-26.500845
1942/3/1,104,0.5,10,1,1.56E-05,232.65213,-28.333313
1942/4/1,104,0.5,10,1,1.54E-05,235.42506,-31.83006
1942/5/1,104,0.5,10,1,1.46E-05,237.59169,-7.3434324
1942/6/1,104,0.5,10,1,1.54E-05,233.11731,10.080311
1942/7/1,104,0.5,10,1,1.62E-05,230.40666,13.58176
1942/8/1,104,0.5,10,1,1.65E-05,232.6608,11.946888
1942/9/1,104,0.5,10,1,1.67E-05,231.22978,2.383471
1942/10/1,104,0.5,10,1,1.62E-05,232.59694,-17.031523
1942/11/1,104,0.5,10,1,1.53E-05,234.47815,-25.215294
1942/12/1,104,0.5,10,1,1.49E-05,233.13702,-32.524
1943/1/1,104,0.5,10,1,1.54E-05,228.13675,-34.282368
1943/2/1,104,0.5,10,1,1.55E-05,230.52965,-31.888866
1943/3/1,104,0.5,10,1,1.55E-05,234.37329,-31.238447
1943/4/1,104,0.5,10,1,1.50E-05,237.43874,-35.599674
1943/5/1,104,0.5,10,1,1.44E-05,239.1181,-6.143742
1943/6/1,104,0.5,10,1,1.51E-05,234.78249,11.535229
1943/7/1,104,0.5,10,1,1.58E-05,232.99274,19.911892
1943/8/1,104,0.5,10,1,1.67E-05,230.65817,22.405367
1943/9/1,104,0.5,10,1,1.67E-05,232.51573,16.84092
1943/10/1,104,0.5,10,1,1.61E-05,232.8713,6.261295
1943/11/1,104,0.5,10,1,1.55E-05,232.98328,-18.795773
1943/12/1,104,0.5,10,1,1.52E-05,230.57144,-29.792936
1944/1/1,104,0.5,10,1,1.47E-05,233.7315,13.318298
1944/2/1,104,0.5,10,1,1.50E-05,232.20744,11.339985
1944/3/1,104,0.5,10,1,1.52E-05,234.39774,14.116917
1944/4/1,104,0.5,10,1,1.53E-05,234.6863,11.928068
1944/5/1,104,0.5,10,1,1.54E-05,233.30653,2.9280362
