date,longitude,latitude,level,expver,o3,t,w,OT
1940/1/1,104,0.5,10,1,1.46E-05,233.77249,0.00010429,-22.07728
1940/2/1,104,0.5,10,1,1.45E-05,235.83269,0.000226657,-12.00576
1940/3/1,104,0.5,10,1,1.47E-05,236.78513,-2.63E-05,2.2199836
1940/4/1,104,0.5,10,1,1.50E-05,236.03767,-6.79E-06,15.674162
1940/5/1,104,0.5,10,1,1.51E-05,234.45056,2.49E-05,20.605831
1940/6/1,104,0.5,10,1,1.54E-05,233.42401,-3.24E-05,13.807585
1940/7/1,104,0.5,10,1,1.60E-05,231.29443,-2.55E-05,15.88352
1940/8/1,104,0.5,10,1,1.66E-05,231.22427,8.39E-06,12.998381
1940/9/1,104,0.5,10,1,1.67E-05,230.7922,-1.55E-05,12.210348
1940/10/1,104,0.5,10,1,1.62E-05,232.32019,-6.62E-05,1.0508733
1940/11/1,104,0.5,10,1,1.55E-05,232.57959,-8.27E-05,-18.143
1940/12/1,104,0.5,10,1,1.50E-05,231.7336,-0.000163442,-24.090878
1941/1/1,104,0.5,10,1,1.55E-05,227.67314,2.01E-05,-30.343384
1941/2/1,104,0.5,10,1,1.55E-05,230.8056,2.75E-06,-32.862736
1941/3/1,104,0.5,10,1,1.56E-05,234.1604,-0.000114408,-33.05445
1941/4/1,104,0.5,10,1,1.55E-05,235.09392,-2.37E-05,-34.268253
1941/5/1,104,0.5,10,1,1.45E-05,238.69865,2.57E-05,-13.745311
1941/6/1,104,0.5,10,1,1.50E-05,235.14438,9.52E-05,7.4080577
1941/7/1,104,0.5,10,1,1.58E-05,233.19852,-3.24E-05,14.166315
1941/8/1,104,0.5,10,1,1.65E-05,233.04004,-3.33E-05,15.437752
1941/9/1,104,0.5,10,1,1.64E-05,233.94832,9.26E-06,16.168152
1941/10/1,104,0.5,10,1,1.59E-05,232.47394,-7.93E-05,17.484283
1941/11/1,104,0.5,10,1,1.58E-05,229.89102,-0.000112672,-4.218356
1941/12/1,104,0.5,10,1,1.54E-05,228.91966,-4.71E-05,-18.286493
1942/1/1,104,0.5,10,1,1.53E-05,229.2587,-0.00011788,-24.189676
1942/2/1,104,0.5,10,1,1.55E-05,229.99431,-0.000186006,-26.500845
1942/3/1,104,0.5,10,1,1.56E-05,232.65213,1.45E-06,-28.333313
1942/4/1,104,0.5,10,1,1.54E-05,235.42506,-1.33E-05,-31.83006
1942/5/1,104,0.5,10,1,1.46E-05,237.59169,0.000145079,-7.3434324
1942/6/1,104,0.5,10,1,1.54E-05,233.11731,1.02E-06,10.080311
1942/7/1,104,0.5,10,1,1.62E-05,230.40666,1.06E-05,13.58176
1942/8/1,104,0.5,10,1,1.65E-05,232.6608,-2.37E-05,11.946888
1942/9/1,104,0.5,10,1,1.67E-05,231.22978,-0.000139576,2.383471
1942/10/1,104,0.5,10,1,1.62E-05,232.59694,4.92E-06,-17.031523
1942/11/1,104,0.5,10,1,1.53E-05,234.47815,-5.71E-05,-25.215294
1942/12/1,104,0.5,10,1,1.49E-05,233.13702,-0.000248925,-32.524
1943/1/1,104,0.5,10,1,1.54E-05,228.13675,-7.54E-05,-34.282368
1943/2/1,104,0.5,10,1,1.55E-05,230.52965,-0.000110937,-31.888866
1943/3/1,104,0.5,10,1,1.55E-05,234.37329,-5.28E-05,-31.238447
1943/4/1,104,0.5,10,1,1.50E-05,237.43874,-0.000126558,-35.599674
1943/5/1,104,0.5,10,1,1.44E-05,239.1181,9.47E-05,-6.143742
1943/6/1,104,0.5,10,1,1.51E-05,234.78249,-7.88E-05,11.535229
1943/7/1,104,0.5,10,1,1.58E-05,232.99274,-2.89E-05,19.911892
1943/8/1,104,0.5,10,1,1.67E-05,230.65817,-0.000129162,22.405367
1943/9/1,104,0.5,10,1,1.67E-05,232.51573,-6.02E-05,16.84092
1943/10/1,104,0.5,10,1,1.61E-05,232.8713,-4.63E-05,6.261295
1943/11/1,104,0.5,10,1,1.55E-05,232.98328,2.75E-06,-18.795773
1943/12/1,104,0.5,10,1,1.52E-05,230.57144,-7.88E-05,-29.792936
1944/1/1,104,0.5,10,1,1.47E-05,233.7315,-1.59E-05,13.318298
1944/2/1,104,0.5,10,1,1.50E-05,232.20744,4.53E-05,11.339985
1944/3/1,104,0.5,10,1,1.52E-05,234.39774,7.43E-05,14.116917
1944/4/1,104,0.5,10,1,1.53E-05,234.6863,-0.000171252,11.928068
1944/5/1,104,0.5,10,1,1.54E-05,233.30653,6.70E-05,2.9280362
1944/6/1,104,0.5,10,1,1.60E-05,230.0085,-0.000132633,-15.800076
1944/7/1,104,0.5,10,1,1.64E-05,230.07552,-9.27E-05,-22.099627
1944/8/1,104,0.5,10,1,1.66E-05,233.52177,8.13E-05,-22.882956
1944/9/1,104,0.5,10,1,1.63E-05,234.88104,8.26E-05,-19.52147
1944/10/1,104,0.5,10,1,1.55E-05,236.89944,0.000115572,-11.32123
1944/11/1,104,0.5,10,1,1.48E-05,236.14412,8.17E-05,-0.44168282
1944/12/1,104,0.5,10,1,1.43E-05,235.74359,0.000132062,9.992098
1945/1/1,104,0.5,10,1,1.45E-05,233.54858,3.96E-05,7.88911
1945/2/1,104,0.5,10,1,1.47E-05,234.8022,5.74E-05,0.7474222
1945/3/1,104,0.5,10,1,1.50E-05,235.93518,2.44E-05,7.1469483
1945/4/1,104,0.5,10,1,1.48E-05,237.11626,7.22E-05,15.92351
1945/5/1,104,0.5,10,1,1.49E-05,235.29103,4.27E-05,16.556288
1945/6/1,104,0.5,10,1,1.54E-05,232.26343,-4.71E-05,9.747456
1945/7/1,104,0.5,10,1,1.60E-05,231.4261,9.26E-06,9.674532
1945/8/1,104,0.5,10,1,1.66E-05,231.71388,-9.62E-05,-1.9918714
1945/9/1,104,0.5,10,1,1.67E-05,231.41507,2.10E-05,-5.1145954
1945/10/1,104,0.5,10,1,1.63E-05,231.77066,5.79E-06,-12.337439
1945/11/1,104,0.5,10,1,1.55E-05,233.72046,2.75E-05,-20.668232
1945/12/1,104,0.5,10,1,1.51E-05,232.19405,-8.10E-05,-28.255686
1946/1/1,104,0.5,10,1,1.53E-05,229.4148,-0.000170818,-31.554836
1946/2/1,104,0.5,10,1,1.55E-05,229.9131,-0.000214645,-30.208124
1946/3/1,104,0.5,10,1,1.55E-05,234.50812,-2.20E-05,-31.383116
1946/4/1,104,0.5,10,1,1.51E-05,236.76068,8.43E-05,-32.93213
1946/5/1,104,0.5,10,1,1.44E-05,239.32231,0.000171982,-13.116062
1946/6/1,104,0.5,10,1,1.51E-05,235.11284,0.000117742,10.511963
1946/7/1,104,0.5,10,1,1.56E-05,233.97986,-0.000108333,15.957619
1946/8/1,104,0.5,10,1,1.62E-05,233.5817,-3.37E-05,13.402983
1946/9/1,104,0.5,10,1,1.62E-05,234.34412,-6.36E-06,5.220386
1946/10/1,104,0.5,10,1,1.56E-05,235.68446,2.10E-05,1.1332049
1946/11/1,104,0.5,10,1,1.51E-05,234.14307,-6.97E-05,2.612824
1946/12/1,104,0.5,10,1,1.48E-05,232.43925,-3.93E-05,-5.808534
1947/1/1,104,0.5,10,1,1.47E-05,232.08366,2.31E-05,-16.675144
1947/2/1,104,0.5,10,1,1.48E-05,234.11232,-6.93E-05,-21.43627
1947/3/1,104,0.5,10,1,1.50E-05,235.24687,5.83E-05,-27.43237
1947/4/1,104,0.5,10,1,1.46E-05,239.63531,9.30E-05,-19.420319
1947/5/1,104,0.5,10,1,1.44E-05,238.7168,0.000103422,-0.23703003
1947/6/1,104,0.5,10,1,1.50E-05,235.116,0.000136401,8.256075
1947/7/1,104,0.5,10,1,1.60E-05,231.61769,9.91E-05,14.253351
1947/8/1,104,0.5,10,1,1.66E-05,232.10495,-2.37E-05,10.195574
1947/9/1,104,0.5,10,1,1.66E-05,232.79247,-8.10E-06,7.8797
1947/10/1,104,0.5,10,1,1.58E-05,234.72809,0.000141608,9.756865
1947/11/1,104,0.5,10,1,1.54E-05,232.16093,-2.72E-05,6.532989
1947/12/1,104,0.5,10,1,1.52E-05,230.58327,-4.93E-05,-12.92905
1948/1/1,104,0.5,10,1,1.52E-05,230.83084,-8.32E-05,-24.499008
1948/2/1,104,0.5,10,1,1.54E-05,230.65108,-0.000148688,-27.995754
1948/3/1,104,0.5,10,1,1.56E-05,233.5273,-6.15E-05,-32.70748
1948/4/1,104,0.5,10,1,1.51E-05,236.39563,7.52E-06,-32.571045
1948/5/1,104,0.5,10,1,1.45E-05,238.07658,3.53E-05,-11.761117
1948/6/1,104,0.5,10,1,1.48E-05,237.09183,9.60E-05,5.7896514
1948/7/1,104,0.5,10,1,1.54E-05,235.27132,2.92E-05,13.253609
1948/8/1,104,0.5,10,1,1.60E-05,235.69392,3.18E-05,14.507404
1948/9/1,104,0.5,10,1,1.60E-05,235.79012,-1.03E-05,13.040724
1948/10/1,104,0.5,10,1,1.56E-05,235.99826,5.48E-05,19.408493
1948/11/1,104,0.5,10,1,1.51E-05,233.75357,-7.49E-05,31.6324
1948/12/1,104,0.5,10,1,1.47E-05,232.12624,-0.000109201,24.507177
1949/1/1,104,0.5,10,1,1.50E-05,230.74568,9.26E-06,20.30826
1949/2/1,104,0.5,10,1,1.51E-05,232.48813,0.000119912,18.702793
1949/3/1,104,0.5,10,1,1.54E-05,232.74359,-0.00015216,6.656487
1949/4/1,104,0.5,10,1,1.56E-05,233.45949,7.48E-05,-15.388416
1949/5/1,104,0.5,10,1,1.55E-05,234.00824,-0.000170385,-24.650734
1949/6/1,104,0.5,10,1,1.52E-05,235.05135,0.000250523,-23.62982
1949/7/1,104,0.5,10,1,1.57E-05,233.8474,1.00E-04,-4.749984
1949/8/1,104,0.5,10,1,1.62E-05,234.65791,3.27E-05,8.206675
1949/9/1,104,0.5,10,1,1.61E-05,235.31548,0.000119478,11.391737
1949/10/1,104,0.5,10,1,1.58E-05,234.68472,7.52E-06,13.658211
1949/11/1,104,0.5,10,1,1.51E-05,234.50339,-2.02E-05,21.327997
1949/12/1,104,0.5,10,1,1.51E-05,231.30312,-9.57E-05,19.548456
1950/1/1,104,0.5,10,1,1.46E-05,233.50365,-0.000113106,13.521776
1950/2/1,104,0.5,10,1,1.50E-05,231.31178,-3.80E-05,10.153233
1950/3/1,104,0.5,10,1,1.53E-05,233.18826,-3.72E-05,15.035503
1950/4/1,104,0.5,10,1,1.53E-05,235.075,-7.06E-05,13.906382
1950/5/1,104,0.5,10,1,1.54E-05,233.4043,2.36E-05,-1.105041
1950/6/1,104,0.5,10,1,1.56E-05,233.01007,-4.85E-05,-18.834587
1950/7/1,104,0.5,10,1,1.59E-05,234.16672,-5.06E-06,-20.117785
1950/8/1,104,0.5,10,1,1.60E-05,235.3407,6.44E-05,-14.933241
1950/9/1,104,0.5,10,1,1.59E-05,237.02954,0.000140306,-10.169763
1950/10/1,104,0.5,10,1,1.53E-05,237.13597,0.000186302,-3.0445411
1950/11/1,104,0.5,10,1,1.50E-05,235.23425,9.26E-05,11.729296
1950/12/1,104,0.5,10,1,1.48E-05,232.43689,0.00016504,13.642921
1951/1/1,104,0.5,10,1,1.48E-05,231.38983,-6.10E-05,8.5771675
1951/2/1,104,0.5,10,1,1.50E-05,232.15857,9.34E-05,9.511045
1951/3/1,104,0.5,10,1,1.51E-05,235.26028,8.95E-05,17.64777
1951/4/1,104,0.5,10,1,1.52E-05,235.00168,1.66E-05,9.349911
1951/5/1,104,0.5,10,1,1.52E-05,235.14359,0.000131194,-11.311821
1951/6/1,104,0.5,10,1,1.50E-05,235.87842,-2.81E-05,-16.121168
1951/7/1,104,0.5,10,1,1.54E-05,235.59457,0.000162436,-11.114225
1951/8/1,104,0.5,10,1,1.60E-05,235.77513,7.09E-05,-0.53812885
1951/9/1,104,0.5,10,1,1.60E-05,236.14412,0.000162436,3.2985291
1951/10/1,104,0.5,10,1,1.56E-05,235.2043,0.000171549,5.3497643
1951/11/1,104,0.5,10,1,1.51E-05,234.65634,0.000120779,9.645128
1951/12/1,104,0.5,10,1,1.50E-05,232.75146,5.92E-05,11.092991
1952/1/1,104,0.5,10,1,1.50E-05,230.92072,-0.000130463,6.0519366
1952/2/1,104,0.5,10,1,1.52E-05,231.17065,-4.28E-05,3.810162
1952/3/1,104,0.5,10,1,1.55E-05,233.54938,5.31E-05,7.9714417
1952/4/1,104,0.5,10,1,1.53E-05,235.53308,8.82E-05,8.68067
1952/5/1,104,0.5,10,1,1.51E-05,235.4976,-3.41E-05,0.46278954
1952/6/1,104,0.5,10,1,1.52E-05,234.57986,9.91E-05,-14.025239
1952/7/1,104,0.5,10,1,1.55E-05,234.97328,-9.79E-05,-7.0423336
1952/8/1,104,0.5,10,1,1.62E-05,234.37643,8.69E-05,1.8294959
1952/9/1,104,0.5,10,1,1.63E-05,234.1541,1.23E-05,-7.0188103
1952/10/1,104,0.5,10,1,1.58E-05,234.64293,8.30E-05,6.0731072
1952/11/1,104,0.5,10,1,1.52E-05,233.22533,-5.49E-06,15.144886
1952/12/1,104,0.5,10,1,1.49E-05,232.34148,-9.92E-05,11.342337
1953/1/1,104,0.5,10,1,1.51E-05,230.26553,-4.15E-05,-0.15822649
1953/2/1,104,0.5,10,1,1.50E-05,233.09839,3.79E-05,-5.0169735
1953/3/1,104,0.5,10,1,1.51E-05,235.22717,1.10E-05,-9.415839
1953/4/1,104,0.5,10,1,1.48E-05,237.24083,-4.71E-05,-14.361623
1953/5/1,104,0.5,10,1,1.48E-05,236.61324,-5.11E-05,-14.465126
1953/6/1,104,0.5,10,1,1.48E-05,235.98721,2.75E-05,-6.0273013
1953/7/1,104,0.5,10,1,1.55E-05,236.03531,0.000100385,1.820087
1953/8/1,104,0.5,10,1,1.59E-05,236.25766,0.000112535,7.8949904
1953/9/1,104,0.5,10,1,1.58E-05,237.34807,0.000112969,12.620831
1953/10/1,104,0.5,10,1,1.54E-05,236.85214,1.92E-05,18.567533
1953/11/1,104,0.5,10,1,1.48E-05,236.5344,0.00012859,25.419884
1953/12/1,104,0.5,10,1,1.45E-05,234.70207,-2.37E-05,20.779903
1954/1/1,104,0.5,10,1,1.48E-05,232.88156,0.000100819,7.051679
1954/2/1,104,0.5,10,1,1.45E-05,236.31284,1.14E-05,-5.609762
1954/3/1,104,0.5,10,1,1.47E-05,236.4248,0.000168077,1.5283971
1954/4/1,104,0.5,10,1,1.46E-05,237.79669,4.01E-05,0.1687479
1954/5/1,104,0.5,10,1,1.47E-05,237.10443,0.000109063,3.916017
